,Response Metric,Performance Metric,Correlation
327,DMS_cor_reject_peak_timing,participation,-0.26025240027784585
150,DLS_cor_reject_auc,false_alarm_rate,0.2576656234758902
223,VS_reward_collect_slope_down,false_alarm_rate,0.2568075256527545
274,DMS_reward_collect_slope_up,hit_rate,0.25353925682477796
175,DMS_cor_reject_auc,false_alarm_rate,0.2528950301584912
212,VS_miss_peak_timing,false_alarm_rate,-0.2503102186401995
448,VS_reward_collect_slope_down,total_hits,0.24907934024000883
148,VS_reward_collect_slope_down,d_prime,-0.2437882473189288
315,DLS_mistake_auc,participation,-0.24354633593682848
242,DLS_mistake_peak_timing,hit_rate,0.24217705984204935
348,DMS_reward_collect_slope_down,participation,-0.2396262693392798
82,DLS_hit_peak_timing,d_prime,-0.23925255537207268
207,VS_hit_peak_timing,false_alarm_rate,0.22803482461833774
346,DMS_reward_collect_maximal_value,participation,0.2277129566083309
510,VS_miss_auc,total_mistakes,0.22690705920892046
250,DMS_cor_reject_auc,hit_rate,0.22136544561186683
155,DLS_hit_auc,false_alarm_rate,0.21993759846447428
296,VS_reward_collect_maximal_value,hit_rate,0.21971753849736358
507,VS_hit_peak_timing,total_mistakes,0.21822622109193757
202,VS_cor_reject_peak_timing,false_alarm_rate,-0.21813594801102124
421,DMS_reward_collect_maximal_value,total_hits,0.21802241983272364
460,DLS_miss_auc,total_mistakes,0.21664485934323022
8,DLS_hit_slope_down,c_score,-0.21416997579340377
252,DMS_cor_reject_peak_timing,hit_rate,-0.2130229407712767
455,DLS_hit_auc,total_mistakes,0.2110776635349229
182,DMS_hit_peak_timing,false_alarm_rate,0.21043215624401135
98,DLS_reward_collect_slope_down,d_prime,-0.2076441699446831
160,DLS_miss_auc,false_alarm_rate,0.20754226763934325
384,DLS_hit_slope_up,total_hits,0.2065929384454215
52,VS_cor_reject_peak_timing,c_score,0.2045384243788905
496,DMS_reward_collect_maximal_value,total_mistakes,0.20402970999240408
352,VS_cor_reject_peak_timing,participation,-0.20377434246667747
512,VS_miss_peak_timing,total_mistakes,-0.20222615842385605
440,VS_mistake_auc,total_hits,0.20036428528373618
234,DLS_hit_slope_up,hit_rate,0.1992900463264905
522,VS_reward_collect_peak_timing,total_mistakes,-0.1987390896361976
97,DLS_reward_collect_peak_timing,d_prime,-0.19598859323938445
62,VS_miss_peak_timing,c_score,0.1958145569137238
392,DLS_mistake_peak_timing,total_hits,0.19457510173394252
10,DLS_miss_auc,c_score,0.1944304255071351
518,VS_mistake_slope_down,total_mistakes,-0.1930430552014929
210,VS_miss_auc,false_alarm_rate,0.1886548122483015
222,VS_reward_collect_peak_timing,false_alarm_rate,-0.18238113988234111
84,DLS_hit_slope_up,d_prime,0.18207649880632726
217,VS_mistake_peak_timing,false_alarm_rate,0.18141827345729697
257,DMS_hit_peak_timing,hit_rate,0.18110017600727615
271,DMS_reward_collect_maximal_value,hit_rate,0.18044200184237155
502,VS_cor_reject_peak_timing,total_mistakes,-0.17989072331094547
287,VS_miss_peak_timing,hit_rate,-0.17807049835000985
427,VS_cor_reject_peak_timing,total_hits,-0.1779451800739764
21,DLS_reward_collect_maximal_value,c_score,0.17752269760640568
172,DLS_reward_collect_peak_timing,false_alarm_rate,-0.1773087724709486
196,DMS_reward_collect_maximal_value,false_alarm_rate,0.17508701842133867
198,DMS_reward_collect_slope_down,false_alarm_rate,-0.17506756282941927
144,VS_mistake_slope_up,d_prime,-0.17501706653575538
